Name,Gold_Medals,Silver_Medals,Bronze_Medals
Ivar Valentin Johansson,3,0,0
Andrey Ivanovich Lavrov,3,0,1
"Steven Earl ""Steve"" Lewis",3,1,0
Li Ning,3,2,1
Li Xiaoxia,3,1,0
Katalin Kovcs,3,5,0
Sven Kramer,3,2,2
Barbara Krause (-Wanja),3,0,0
Ranomi Kromowidjojo,3,1,0
Viktor Grigoryevich Kuzkin,3,0,0
"Charline ""Charlie"" Labont",3,0,0
Samppa Kalevi Lajunen,3,2,0
Leisel Marie Jones,3,5,1
"Jacqueline ""Jackie"" Joyner-Kersee",3,1,2
Michael Jung,3,1,0
Endre Kabos,3,0,1
Duke Paoa Kahino Makoe Hulikohoa Kahanamoku,3,2,0
Akakios Kakiasvili,3,0,0
Zoltn Kammerer,3,1,0
Aleksandr Aleksandrovich Karelin,3,1,0
Gyrgy Krpti,3,0,1
Pertti Johannes Karppinen,3,0,0
Tams Kss,3,0,0
Tatyana Vasilyevna Kazankina (-Kovalenko),3,0,0
"Rebecca D. ""Becky"" Kellar (-Duke)",3,1,0
"John Brenden ""Jack"" Kelly, Sr.",3,0,0
Eizo Kenmotsu,3,3,3
Charles Hamelin,3,1,0
Halvard Hanevold,3,2,1
Brendan Joseph Hansen,3,1,2
Lori D. Harrigan (-Mack),3,0,0
Thorleif Haug (Johnsen-),3,0,0
Rechelle Margaret Hawkes,3,0,0
"Michael Steward ""Mike"" Heath",3,1,0
Kathleen Joan Heddle,3,0,1
Carl Marcus Joakim Hellner,3,1,0
Rdiger Helm,3,0,3
"Sonja Henie (-Topping, -Gardiner, -Onstad)",3,0,0
Jan Margo Henne (-Hawkins),3,1,1
Jodie Clare Henry,3,0,0
"Charles Buchanan ""Charlie"" Hickcox",3,1,0
Yolanda Gail L. Devers (-Roberts),3,0,0
Tirunesh Dibaba Keneni,3,0,3
Klaus Dibiasi,3,2,0
Pyrros Dimas,3,0,1
Ding Ning,3,1,0
Andreas Dittmer,3,1,1
Aleksandr Nikolayevich Dityatin,3,6,1
"Reginald Frank ""Reggie"" Doherty",3,0,1
Darya Vladimirovna Domracheva,3,0,1
Natasa Douchev-Janics,3,2,1
"Gabrielle Christina Victoria ""Gabby"" Douglas",3,0,0
Roger Franois Ducret,3,4,1
Charlotte Susan Jane Dujardin,3,1,0
Galina Yevgenyevna Gorokhova,3,1,1
Felix Gottwald,3,1,3
"Shane Elizabeth Gould (-Innis, -Nelms)",3,1,1
Gillis Emanuel Grafstrm,3,1,0
Michael Greis,3,0,0
Delorez Florence Griffith Joyner,3,2,0
Mariya Igorevna Gromova,3,0,0
Michael Gro,3,2,1
Johan Hagbart Pedersen Grttumsbraaten,3,1,2
